image,stage,step,task,tau,T,e_k,gamma2_meas,mse_alg2,mse_alg2_miss,mse_alg2_obs,mse_model,mse_model_miss,mse_model_obs,mse_wls,mse_wls_miss,mse_wls_obs,resolution,s_k,score_err,score_err_g2,sigma_tau
shetland_sheepdog,0,2,motion_blur,0.222,38.85,0.25,0.01062399335205555,0.03268205374479294,,,0.124564528465271,,,8.029667854309082,,,32,0.0,0.0004301068256609142,0.00043076503789052367,0.9445
breastplate_armor,0,2,superresolution,0.222,38.85,0.25,0.01062399335205555,0.00580504909157753,,,0.11040721833705902,,,7.682374000549316,,,32,0.0,0.0003812233335338533,0.00038089638110250235,0.9445
crane_structure,0,2,superresolution,0.222,38.85,0.25,0.01062399335205555,0.017347700893878937,,,0.3360884189605713,,,8.190692901611328,,,32,0.0,0.0011604743776842952,0.0011610991787165403,0.9445
ibex_horns,0,2,superresolution,0.222,38.85,0.25,0.01062399335205555,0.025311214849352837,,,0.14829909801483154,,,7.488616466522217,,,32,0.0,0.0005120595451444387,0.0005125523312017322,0.9445
junco,0,2,superresolution,0.222,38.85,0.25,0.01062399335205555,0.011200238019227982,,,0.04411229491233826,,,7.387023448944092,,,32,0.0,0.0001523146202089265,0.00015325727872550488,0.9445
lakeside_beach,0,2,superresolution,0.222,38.85,0.25,0.01062399335205555,0.003584142541512847,,,0.11102434247732162,,,7.929286003112793,,,32,0.0,0.0003833541995845735,0.00038444832898676395,0.9445
sea_anemone,0,2,superresolution,0.222,38.85,0.25,0.01062399335205555,0.006930654868483543,,,0.18697893619537354,,,7.885069847106934,,,32,0.0,0.0006456167320720851,0.0006453432142734528,0.9445
shetland_sheepdog,0,2,superresolution,0.222,38.85,0.25,0.01062399335205555,0.008758483454585075,,,0.124564528465271,,,8.029667854309082,,,32,0.0,0.0004301068256609142,0.00043076503789052367,0.9445
breastplate_armor,0,3,box_inpainting,0.333,58.275000000000006,0.25,0.009873627685010433,23.34070587158203,93.35061645507812,0.004068995360285044,0.07316391915082932,0.08019902557134628,0.07081887125968933,7.678866386413574,7.520376682281494,7.731695175170898,32,0.0,0.0006033420795574784,0.0006043699104338884,0.9167500000000001
crane_structure,0,3,box_inpainting,0.333,58.275000000000006,0.25,0.009873627685010433,23.379287719726562,93.47309112548828,0.014684655703604221,0.28708529472351074,0.23188777267932892,0.30548444390296936,8.127477645874023,7.6758952140808105,8.278003692626953,32,0.0,0.002367432229220867,0.002369567286223173,0.9167500000000001
ibex_horns,0,3,box_inpainting,0.333,58.275000000000006,0.25,0.009873627685010433,0.3209522068500519,1.228375792503357,0.018477652221918106,0.14881162345409393,0.1442836970090866,0.15032093226909637,7.479876518249512,8.033777236938477,7.2952423095703125,32,0.0,0.0012271665036678314,0.001229073153808713,0.9167500000000001
junco,0,3,box_inpainting,0.333,58.275000000000006,0.25,0.009873627685010433,22.704345703125,90.79434967041016,0.0076816328801214695,0.04882459342479706,0.06412162631750107,0.04372557997703552,7.399105072021484,7.168299198150635,7.476040363311768,32,0.0,0.00040262914262712,0.0004068410489708185,0.9167500000000001
lakeside_beach,0,3,box_inpainting,0.333,58.275000000000006,0.25,0.009873627685010433,23.162425994873047,92.64599609375,0.0012375492369756103,0.10271832346916199,0.14564724266529083,0.08840867877006531,7.912459373474121,7.7614874839782715,7.9627838134765625,32,0.0,0.0008470606990158558,0.0008509849430993199,0.9167500000000001
