task,image,stage,step,tau,T,sigma_tau,s_k,e_k,resolution,mse_wls,mse_model
box_inpainting,ibex_horns,2,2,0.222,491.046,0.5741666666666667,0.3333333333333333,0.75,128,0.14974910020828247,0.03428129851818085
box_inpainting,junco,2,2,0.222,491.046,0.5741666666666667,0.3333333333333333,0.75,128,0.13225093483924866,0.012854047119617462
box_inpainting,lakeside_beach,2,2,0.222,491.046,0.5741666666666667,0.3333333333333333,0.75,128,0.12558093667030334,0.007099456619471312
box_inpainting,sea_anemone,2,2,0.222,491.046,0.5741666666666667,0.3333333333333333,0.75,128,0.13458150625228882,0.01485985703766346
box_inpainting,shetland_sheepdog,2,2,0.222,491.046,0.5741666666666667,0.3333333333333333,0.75,128,0.13126742839813232,0.01441871002316475
box_inpainting,breastplate_armor,2,3,0.333,523.569,0.5279166666666668,0.3333333333333333,0.75,128,0.1320287436246872,0.015165600925683975
box_inpainting,crane_structure,2,3,0.333,523.569,0.5279166666666668,0.3333333333333333,0.75,128,0.14498135447502136,0.028408503159880638
box_inpainting,ibex_horns,2,3,0.333,523.569,0.5279166666666668,0.3333333333333333,0.75,128,0.14429353177547455,0.029236286878585815
box_inpainting,junco,2,3,0.333,523.569,0.5279166666666668,0.3333333333333333,0.75,128,0.1302201896905899,0.010563666000962257
box_inpainting,lakeside_beach,2,3,0.333,523.569,0.5279166666666668,0.3333333333333333,0.75,128,0.12479148805141449,0.006312207784503698
box_inpainting,sea_anemone,2,3,0.333,523.569,0.5279166666666668,0.3333333333333333,0.75,128,0.13248074054718018,0.012901045382022858
box_inpainting,shetland_sheepdog,2,3,0.333,523.569,0.5279166666666668,0.3333333333333333,0.75,128,0.12888231873512268,0.012262774631381035
box_inpainting,breastplate_armor,2,4,0.444,556.092,0.48166666666666674,0.3333333333333333,0.75,128,0.12950138747692108,0.012401465326547623
box_inpainting,crane_structure,2,4,0.444,556.092,0.48166666666666674,0.3333333333333333,0.75,128,0.13834363222122192,0.021928664296865463
box_inpainting,ibex_horns,2,4,0.444,556.092,0.48166666666666674,0.3333333333333333,0.75,128,0.13966378569602966,0.02520909160375595
box_inpainting,junco,2,4,0.444,556.092,0.48166666666666674,0.3333333333333333,0.75,128,0.12807443737983704,0.008797843009233475
box_inpainting,lakeside_beach,2,4,0.444,556.092,0.48166666666666674,0.3333333333333333,0.75,128,0.12366779893636703,0.005491900257766247
box_inpainting,sea_anemone,2,4,0.444,556.092,0.48166666666666674,0.3333333333333333,0.75,128,0.1299896240234375,0.011066917330026627
box_inpainting,shetland_sheepdog,2,4,0.444,556.092,0.48166666666666674,0.3333333333333333,0.75,128,0.12684231996536255,0.010814632289111614
box_inpainting,breastplate_armor,2,5,0.555,588.615,0.4354166666666667,0.3333333333333333,0.75,128,0.12740039825439453,0.010487483814358711
box_inpainting,crane_structure,2,5,0.555,588.615,0.4354166666666667,0.3333333333333333,0.75,128,0.13315963745117188,0.016833966597914696
box_inpainting,ibex_horns,2,5,0.555,588.615,0.4354166666666667,0.3333333333333333,0.75,128,0.13532373309135437,0.021518811583518982
box_inpainting,junco,2,5,0.555,588.615,0.4354166666666667,0.3333333333333333,0.75,128,0.12641340494155884,0.007505486719310284
box_inpainting,lakeside_beach,2,5,0.555,588.615,0.4354166666666667,0.3333333333333333,0.75,128,0.12268349528312683,0.004720722790807486
box_inpainting,sea_anemone,2,5,0.555,588.615,0.4354166666666667,0.3333333333333333,0.75,128,0.1282472163438797,0.009667802602052689
box_inpainting,shetland_sheepdog,2,5,0.555,588.615,0.4354166666666667,0.3333333333333333,0.75,128,0.12535487115383148,0.009621669538319111
box_inpainting,breastplate_armor,2,6,0.666,621.138,0.38916666666666666,0.3333333333333333,0.75,128,0.1257086545228958,0.00884244404733181
